"filename", "language", "Python", "XML", "comment", "blank", "total"
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/__init__.py", "Python", 1, 0, 0, 2, 3
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/__manifest__.py", "Python", 27, 0, 1, 3, 31
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/icons/ophthalmology.svg", "XML", 0, 241, 0, 0, 241
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/models/__init__.py", "Python", 1, 0, 1, 1, 3
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/models/ophthalmology_evaluation.py", "Python", 210, 0, 66, 56, 332
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/models/ophthalmology_findings.py", "Python", 33, 0, 3, 8, 44
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/static/description/ophthalmology.svg", "XML", 0, 241, 0, 0, 241
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/tests/__init__.py", "Python", 0, 0, 0, 2, 2
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/tests/test_health_ophthalmology.py", "Python", 13, 0, 0, 5, 18
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/views/findings_form.xml", "XML", 0, 20, 0, 4, 24
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/views/findings_tree.xml", "XML", 0, 16, 0, 2, 18
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/views/health_ophthalmology_report.xml", "XML", 0, 16, 0, 3, 19
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/views/menu.xml", "XML", 0, 18, 2, 1, 21
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/views/oph_form.xml", "XML", 0, 99, 1, 4, 104
"/home/hanoi/DEV/proyectosaludcuba/health_ophthalmology/views/oph_tree.xml", "XML", 0, 16, 0, 2, 18
"Total", "-", 285, 667, 74, 93, 1119
